SCIENTIFIC NAME;OBSERVATION COUNT;LATITUDE;LONGITUDE;OBSERVATION DATE;STATE;YEAR;WEEK OF YEAR
Nucifraga caryocatactes;1;50.8571515;15.6863824;20.07.1970;województwo dolnośląskie;1970;30
Nucifraga caryocatactes;2;50.8071262;15.5361787;22.07.1970;województwo dolnośląskie;1970;30
Nucifraga caryocatactes;1;53.8282248;20.8098756;05.07.1970;województwo warmińsko-mazurskie;1970;27
Nucifraga caryocatactes;1;49.2978143;19.9486291;02.07.1974;województwo małopolskie;1974;27
Nucifraga caryocatactes;2;49.2711079;20.1198136;05.09.1977;województwo małopolskie;1977;36
Nucifraga caryocatactes;1;54.1569281;22.4169782;26.10.1978;województwo warmińsko-mazurskie;1978;43
Nucifraga caryocatactes;-100;54.1569281;22.4169782;25.01.1979;województwo warmińsko-mazurskie;1979;4
Nucifraga caryocatactes;4;49.2711079;20.1198136;14.07.1980;województwo małopolskie;1980;29
Nucifraga caryocatactes;1;54.1569281;22.4169782;07.09.1981;województwo warmińsko-mazurskie;1981;37
Nucifraga caryocatactes;1;49.20142;20.071032;03.09.1982;województwo małopolskie;1982;35
Nucifraga caryocatactes;1;54.13;22.19;03.07.1983;województwo warmińsko-mazurskie;1983;26
Nucifraga caryocatactes;-100;54.162;22.353;09.10.1983;województwo warmińsko-mazurskie;1983;40
Nucifraga caryocatactes;1;53.5930818;22.8638167;08.04.1984;województwo podlaskie;1984;14
Nucifraga caryocatactes;1;54.162;22.353;10.06.1984;województwo warmińsko-mazurskie;1984;23
Nucifraga caryocatactes;2;54.3602495;18.9460784;20.10.1985;województwo pomorskie;1985;42
Nucifraga caryocatactes;1;54.162;22.353;02.05.1986;województwo warmińsko-mazurskie;1986;18
Nucifraga caryocatactes;2;54.162;22.353;25.06.1986;województwo warmińsko-mazurskie;1986;26
Nucifraga caryocatactes;2;54.597;18.324;01.07.1986;województwo pomorskie;1986;27
Nucifraga caryocatactes;1;54.13;22.19;15.07.1986;województwo warmińsko-mazurskie;1986;29
Nucifraga caryocatactes;1;54.162;22.353;20.07.1986;województwo warmińsko-mazurskie;1986;29
Nucifraga caryocatactes;1;54.123;22.1;17.07.1986;województwo warmińsko-mazurskie;1986;29
Nucifraga caryocatactes;6;54.7034049;18.6518805;09.08.1986;województwo pomorskie;1986;32
Nucifraga caryocatactes;1;54.162;22.353;14.08.1987;województwo warmińsko-mazurskie;1987;33
Nucifraga caryocatactes;1;54.1569281;22.4169782;17.12.1987;województwo warmińsko-mazurskie;1987;51
Nucifraga caryocatactes;1;54.1569281;22.4169782;17.06.1988;województwo warmińsko-mazurskie;1988;24
Nucifraga caryocatactes;1;54.129;22.158;12.07.1988;województwo warmińsko-mazurskie;1988;28
Nucifraga caryocatactes;1;53.933;22.628;15.09.1988;województwo warmińsko-mazurskie;1988;37
Nucifraga caryocatactes;-100;53.8119028;21.6105366;07.05.1991;województwo warmińsko-mazurskie;1991;19
Nucifraga caryocatactes;-100;49.1908475;20.0708199;14.08.1991;województwo małopolskie;1991;33
Nucifraga caryocatactes;-100;49.079938;22.7457333;12.08.1991;województwo podkarpackie;1991;33
Nucifraga caryocatactes;1;53.558253;22.6322906;28.05.1993;województwo podlaskie;1993;21
Nucifraga caryocatactes;-100;49.1697632;22.3186395;24.07.1994;województwo podkarpackie;1994;29
Nucifraga caryocatactes;-100;49.0595652;22.8470647;21.07.1994;województwo podkarpackie;1994;29
Nucifraga caryocatactes;3;50.0047016;19.4818765;13.09.1994;województwo małopolskie;1994;37
Nucifraga caryocatactes;1;51.1664905;22.7203148;07.01.1995;województwo lubelskie;1995;1
Nucifraga caryocatactes;3;51.1858082;22.8005665;26.03.1995;województwo lubelskie;1995;12
Nucifraga caryocatactes;1;51.1858082;22.8005665;29.04.1995;województwo lubelskie;1995;17
Nucifraga caryocatactes;2;51.1858082;22.8005665;23.04.1995;województwo lubelskie;1995;16
Nucifraga caryocatactes;2;51.1858082;22.8005665;06.05.1995;województwo lubelskie;1995;18
Nucifraga caryocatactes;5;52.7707855;23.8556099;17.05.1995;województwo podlaskie;1995;20
Nucifraga caryocatactes;3;52.7707855;23.8556099;20.05.1995;województwo podlaskie;1995;20
Nucifraga caryocatactes;1;51.1664905;22.7203148;30.06.1995;województwo lubelskie;1995;26
Nucifraga caryocatactes;1;52.6838357;23.8293457;06.07.1995;województwo podlaskie;1995;27
Nucifraga caryocatactes;-100;54.0879237;23.0155569;02.07.1995;województwo podlaskie;1995;26
Nucifraga caryocatactes;1;53.3875655;22.5732565;03.05.1996;województwo podlaskie;1996;18
Nucifraga caryocatactes;1;52.684685;23.7867898;01.05.1996;województwo podlaskie;1996;18
Nucifraga caryocatactes;1;50.4632413;16.3793707;17.07.1996;województwo dolnośląskie;1996;29
Nucifraga caryocatactes;1;50.4632413;16.3793707;17.07.1996;województwo dolnośląskie;1996;29
Nucifraga caryocatactes;2;49.2553695;19.9752045;22.07.1996;województwo małopolskie;1996;30
Nucifraga caryocatactes;2;49.2553695;19.9752045;22.07.1996;województwo małopolskie;1996;30
Nucifraga caryocatactes;2;49.3444473;21.0068506;18.07.1996;województwo małopolskie;1996;29
Nucifraga caryocatactes;1;51.1445757;22.753527;27.04.1997;województwo lubelskie;1997;17
Nucifraga caryocatactes;2;53.5880216;22.7804947;28.05.1997;województwo podlaskie;1997;22
Nucifraga caryocatactes;-100;49.5797256;19.5262639;09.05.1998;województwo małopolskie;1998;19
Nucifraga caryocatactes;1;52.71064;23.8517976;21.08.1999;województwo podlaskie;1999;33
Nucifraga caryocatactes;3;52.71064;23.8517976;22.08.1999;województwo podlaskie;1999;33
Nucifraga caryocatactes;3;52.71064;23.8517976;22.08.1999;województwo podlaskie;1999;33
Nucifraga caryocatactes;1;52.71064;23.8517976;21.08.1999;województwo podlaskie;1999;33
Nucifraga caryocatactes;3;49.1037121;22.6524088;20.08.1999;województwo podkarpackie;1999;33
Nucifraga caryocatactes;3;49.1037121;22.6524088;21.08.1999;województwo podkarpackie;1999;33
Nucifraga caryocatactes;1;49.1037121;22.6524088;18.08.1999;województwo podkarpackie;1999;33
Nucifraga caryocatactes;1;49.1037121;22.6524088;18.08.1999;województwo podkarpackie;1999;33
Nucifraga caryocatactes;-100;49.2013297;20.0715925;01.01.2000;województwo małopolskie;2000;52
Nucifraga caryocatactes;1;49.5814817;20.0835979;07.04.2000;województwo małopolskie;2000;14
Nucifraga caryocatactes;1;52.6799727;23.8345385;27.05.2000;województwo podlaskie;2000;21
Nucifraga caryocatactes;1;52.7038248;23.8297105;02.06.2000;województwo podlaskie;2000;22
Nucifraga caryocatactes;-100;52.7707855;23.8556099;28.07.2000;województwo podlaskie;2000;30
Nucifraga caryocatactes;-100;49.2166253;19.8508587;18.08.2000;województwo małopolskie;2000;33
Nucifraga caryocatactes;3;52.7707855;23.8556099;11.08.2000;województwo podlaskie;2000;32
Nucifraga caryocatactes;1;49.1806067;22.6464484;30.04.2001;województwo podkarpackie;2001;18
Nucifraga caryocatactes;1;52.7196595;23.8445718;16.05.2001;województwo podlaskie;2001;20
Nucifraga caryocatactes;2;49.103966;22.6448822;12.05.2001;województwo podkarpackie;2001;19
Nucifraga caryocatactes;1;51.1664905;22.7203148;27.01.2002;województwo lubelskie;2002;4
Nucifraga caryocatactes;-100;52.6993865;23.8510198;29.05.2002;województwo podlaskie;2002;22
Nucifraga caryocatactes;1;53.5930818;22.8638167;27.05.2002;województwo podlaskie;2002;22
Nucifraga caryocatactes;1;53.2995897;22.6041574;27.05.2002;województwo podlaskie;2002;22
Nucifraga caryocatactes;1;49.1294427;22.7459908;10.05.2002;województwo podkarpackie;2002;19
Nucifraga caryocatactes;1;49.1294427;22.7459908;11.05.2002;województwo podkarpackie;2002;19
Nucifraga caryocatactes;1;49.5817042;20.0097958;08.09.2002;województwo małopolskie;2002;36
Nucifraga caryocatactes;2;49.1091636;22.5741148;27.02.2003;województwo podkarpackie;2003;9
Nucifraga caryocatactes;2;49.1294427;22.7459908;10.05.2003;województwo podkarpackie;2003;19
Nucifraga caryocatactes;1;49.1294427;22.7459908;09.05.2003;województwo podkarpackie;2003;19
Nucifraga caryocatactes;1;49.1294427;22.7459908;09.05.2003;województwo podkarpackie;2003;19
Nucifraga caryocatactes;2;49.1294427;22.7459908;10.05.2003;województwo podkarpackie;2003;19
Nucifraga caryocatactes;1;51.4234061;23.5927117;21.09.2003;województwo lubelskie;2003;38
Nucifraga caryocatactes;1;53.0899388;16.1214876;19.09.2003;województwo zachodniopomorskie;2003;38
Nucifraga caryocatactes;1;53.6646281;14.5058572;03.12.2003;województwo zachodniopomorskie;2003;49
Nucifraga caryocatactes;4;49.1294427;22.7459908;26.02.2004;województwo podkarpackie;2004;9
Nucifraga caryocatactes;1;49.1294427;22.7459908;09.05.2004;województwo podkarpackie;2004;19
Nucifraga caryocatactes;1;49.1294427;22.7459908;08.05.2004;województwo podkarpackie;2004;19
Nucifraga caryocatactes;-100;49.0881772;22.5654255;13.05.2004;województwo podkarpackie;2004;20
Nucifraga caryocatactes;1;49.103966;22.6448822;08.05.2004;województwo podkarpackie;2004;19
Nucifraga caryocatactes;3;49.6202353;18.9455201;06.06.2004;województwo śląskie;2004;23
